105,24,0.55784
80,71.636,0.58483
65,23.636,0.54678
111,25.091,0.51796
117,10.545,0.53011
85,19.636,0.53219
114,26.182,0.52343
98,57.091,0.57556
60,17.455,0.5674
55,9.4545,0.56183
75,44,0.55808
70,24.727,0.57019
108,23.636,0.53245
90,58.545,0.58256
102,19.636,0.55042
94,53.091,0.53946
80,71.273,0.60606
65,24.727,0.55242
111,45.818,0.5634
105,25.818,0.5664
114,25.818,0.54812
117,12.364,0.54005
85,21.455,0.56203
55,10.545,0.56405
75,44.364,0.56057
60,18.545,0.59478
70,26.545,0.57069
108,16.364,0.5569
90,58.909,0.5897
98,56.727,0.63654
102,20.727,0.55341
94,53.455,0.54502
80,70.182,0.60876
65,24.364,0.55454
114,26.909,0.57466
70,26.909,0.57207
111,45.455,0.56869
60,19.636,0.60976
85,21.818,0.56525
55,12.364,0.56568
75,44.727,0.56272
105,26.909,0.56756
108,18.182,0.56092
117,13.455,0.61838
90,59.273,0.59444
102,20.364,0.55522
98,57.091,0.6405
94,51.636,0.55223
80,69.818,0.61152
65,24.727,0.55776
111,46.545,0.57548
114,27.273,0.59608
70,27.273,0.57231
85,22.909,0.57202
75,44.364,0.5636
60,19.636,0.60976
55,14.182,0.56698
105,28,0.56874
108,20,0.56542
117,14.545,0.62981
90,57.455,0.59649
102,20,0.56145
98,55.273,0.64756
94,50.545,0.55258
80,69.818,0.61152
65,25.091,0.5579
114,27.636,0.60986
111,46.909,0.60163
70,29.091,0.5725
85,23.273,0.59319
75,43.273,0.56434
55,15.273,0.56778
60,20,0.61644
108,20.364,0.56556
105,29.818,0.56888
117,16.364,0.63874
90,57.091,0.6022
102,20.364,0.56565
98,54.182,0.65996
94,49.455,0.55303
80,68.727,0.613
65,26.182,0.55844
114,28.727,0.61038
70,30.182,0.57279
85,24.364,0.59632
111,47.273,0.61371
55,15.636,0.57399
75,42.909,0.56509
60,21.091,0.62006
108,22.182,0.56686
105,31.636,0.56892
117,16.727,0.64326
90,56.727,0.61124
102,22.182,0.56671
98,55.273,0.66432
94,49.455,0.55303
65,27.273,0.56152
80,68.727,0.613
85,26.182,0.60005
114,29.818,0.61489
70,30.545,0.57316
111,47.636,0.61973
55,17.455,0.57405
75,42.545,0.56511
60,22.909,0.62899
108,22.545,0.56736
105,31.636,0.56892
117,18.545,0.64652
90,56.364,0.61131
102,23.273,0.56699
98,55.273,0.66432
94,49.818,0.55467
65,27.273,0.56152
80,68.364,0.61918
85,27.273,0.63624
114,31.636,0.61757
70,32.364,0.57351
111,46.545,0.63202
55,41.091,0.60873
75,41.455,0.56625
60,24,0.62965
108,22.909,0.56785
105,31.636,0.56892
117,18.545,0.64652
90,55.273,0.62213
102,25.091,0.56736
98,54.909,0.66692
94,49.455,0.55597
65,27.636,0.56334
80,67.273,0.63293
85,28.364,0.63662
114,31.636,0.61757
70,32.727,0.57405
111,46.909,0.64541
